Name,Price,Volume,24HrDelta,Time
BTC,"$ 5,291.82",$ 1.80 B,0.56%, 2019-04-28 14:04:36
ETH,$ 158.65,$ 1.27 B,-0.80%, 2019-04-28 14:04:36
EOS,$ 4.89,$ 682.60 M,0.62%, 2019-04-28 14:04:36
LTC,$ 69.25,$ 554.02 M,-3.99%, 2019-04-28 14:04:36
XRP,$ 0.2968,$ 238.73 M,-0.40%, 2019-04-28 14:04:36
BCH,$ 256.84,$ 231.84 M,-3.19%, 2019-04-28 14:04:36
ZB,$ 0.3159,$ 154.81 M,4.33%, 2019-04-28 14:04:36
TRX,$ 0.02332,$ 141.79 M,0.14%, 2019-04-28 14:04:36
BNB,$ 22.82,$ 133.23 M,1.36%, 2019-04-28 14:04:36
BGG,$ 0.001464,$ 110.98 M,-0.32%, 2019-04-28 14:04:36
ETC,$ 5.55,$ 107.76 M,-0.54%, 2019-04-28 14:04:36
ZEC,$ 61.81,$ 101.68 M,-1.40%, 2019-04-28 14:04:36
OKB,$ 1.62,$ 88.63 M,3.45%, 2019-04-28 14:04:36
NEO,$ 9.70,$ 84.22 M,-0.41%, 2019-04-28 14:04:36
ATOM,$ 4.87,$ 77.93 M,44.94%, 2019-04-28 14:04:36
DASH,$ 113.39,$ 77.44 M,1.17%, 2019-04-28 14:04:36
QTUM,$ 2.38,$ 67.72 M,-0.93%, 2019-04-28 14:04:36
XLM,$ 0.09938,$ 56.56 M,-0.49%, 2019-04-28 14:04:36
XMR,$ 62.55,$ 54.93 M,-1.36%, 2019-04-28 14:04:36
USDT,$ 0.9967,$ 51.51 M,0.35%, 2019-04-28 14:04:36
ONT,$ 1.11,$ 47.58 M,-3.04%, 2019-04-28 14:04:36
BSV,$ 53.13,$ 42.75 M,-1.34%, 2019-04-28 14:04:36
ADA,$ 0.06933,$ 40.15 M,-2.02%, 2019-04-28 14:04:36
BTT,$ 0.0006879,$ 39.27 M,0.00%, 2019-04-28 14:04:36
PAX,$ 1.00,$ 34.74 M,0.00%, 2019-04-28 14:04:36
AE,$ 0.4590,$ 32.83 M,-1.81%, 2019-04-28 14:04:36
TRUE,$ 0.6251,$ 30.63 M,-2.23%, 2019-04-28 14:04:36
OMG,$ 1.59,$ 29.29 M,-1.24%, 2019-04-28 14:04:36
BAT,$ 0.4127,$ 28.21 M,6.78%, 2019-04-28 14:04:36
HT,$ 2.30,$ 26.72 M,3.95%, 2019-04-28 14:04:36
ABT,$ 0.2170,$ 25.00 M,6.46%, 2019-04-28 14:04:36
TUSD,$ 1.02,$ 21.08 M,-0.49%, 2019-04-28 14:04:36
DENT,$ 0.0009525,$ 14.26 M,12.50%, 2019-04-28 14:04:36
